image,plot,grid,site,treatment,miccal,brohor,vulmic,plaere,notes
2866,501,1,TAIL,B,1,0,0,2,
2866,501,1,TAIL,A,1,0,1,2,
2867,503,1,TAIL,B,1,0,0,1,
2867,503,1,TAIL,A,1,0,1,2,
2868,505,1,TAIL,B,2,0,0,2,
2868,505,1,TAIL,A,1,0,0,2,
2869,507,1,TAIL,B,1,0,1,1,
2869,507,1,TAIL,A,1,1,1,1,
2870,509,1,TAIL,B,1,0,0,1,
2870,509,1,TAIL,A,1,0,1,1,
2871,511,1,TAIL,B,2,0,1,2,
2871,511,1,TAIL,A,1,0,1,1,
2872,513,1,TAIL,B,0,1,1,3,
2872,513,1,TAIL,A,1,0,1,2,
2873,515,1,TAIL,B,1,0,1,2,
2873,515,1,TAIL,A,1,1,0,1,
2874,517,1,TAIL,B,1,0,1,2,
2874,517,1,TAIL,A,1,0,0,2,
2875,519,1,TAIL,B,1,0,0,2,
2875,519,1,TAIL,A,0,0,1,2,
2876,521,1,TAIL,B,2,0,1,1,
2876,521,1,TAIL,A,0,0,0,1,
2877,523,1,TAIL,B,1,0,0,2,
2877,523,1,TAIL,A,1,0,1,1,
2878,525,1,TAIL,B,1,1,0,3,
2878,525,1,TAIL,A,1,0,0,1,
2879,527,1,TAIL,B,1,2,0,1,
2879,527,1,TAIL,A,0,0,0,0,
2880,529,1,TAIL,B,0,2,0,0,
2880,529,1,TAIL,A,1,1,1,1,
2881,531,1,TAIL,B,0,2,1,1,
2881,531,1,TAIL,A,0,2,1,1,
2882,533,1,TAIL,B,1,3,1,1,
2882,533,1,TAIL,A,1,1,1,1,
2883,535,1,TAIL,B,1,1,1,2,
2883,535,1,TAIL,A,1,1,1,3,
2885,537,1,TAIL,B,0,1,0,3,
2885,537,1,TAIL,A,1,0,1,2,
2886,539,1,TAIL,B,1,1,1,3,
2886,539,1,TAIL,A,0,0,0,1,
2887,541,1,TAIL,B,1,1,0,1,
2887,541,1,TAIL,A,1,0,0,1,
2888,543,1,TAIL,B,1,3,0,1,
2888,543,1,TAIL,A,0,1,0,1,
2889,545,1,TAIL,B,0,2,1,0,
2889,545,1,TAIL,A,0,1,0,0,
2890,547,1,TAIL,B,1,3,0,1,
2890,547,1,TAIL,A,0,2,0,1,
2891,549,1,TAIL,B,0,2,1,1,
2891,549,1,TAIL,A,1,1,0,1,
2892,601,2,TAIL,B,1,0,0,3,
2892,601,2,TAIL,A,0,0,0,2,
2893,603,2,TAIL,B,2,1,0,3,
2893,603,2,TAIL,A,1,0,0,2,
2894,605,2,TAIL,B,2,0,0,3,
2894,605,2,TAIL,A,1,0,0,2,
2895,607,2,TAIL,B,1,0,0,2,
2895,607,2,TAIL,A,1,0,0,1,
2896,609,2,TAIL,B,2,0,1,2,
2896,609,2,TAIL,A,1,0,0,1,
2897,611,2,TAIL,B,2,0,0,2,
2897,611,2,TAIL,A,1,0,0,2,
2899,613,2,TAIL,B,2,0,1,2,
2899,613,2,TAIL,A,1,0,0,1,
2900,615,2,TAIL,B,2,0,1,3,
2900,615,2,TAIL,A,1,0,0,3,
2901,617,2,TAIL,B,2,0,1,1,
2901,617,2,TAIL,A,0,0,0,1,
2902,619,2,TAIL,B,2,0,0,2,
2902,619,2,TAIL,A,1,0,1,2,
2903,621,2,TAIL,B,1,0,1,3,
2903,621,2,TAIL,A,1,0,1,1,
