Plot ,Image,Treatment (A vs B),Bare,Live,Old litter,Dead,Notes
501,2866,A,80,15,0,5,
501,2866,B,20,30,10,40,
503,2867,A,82,15,0,3,
503,2867,B,60,15,10,15,
505,2868,A,92,5,0,3,
505,2868,B,15,30,20,35,
507,2869,A,91,7,0,2,
507,2869,B ,15,35,20,30,
509,2870,A,82,15,0,3,
509,2870,B ,15,35,15,35,
511,2871,A,90,7,0,3,
511,2871,B ,10,50,10,30,
513,2872,A,62,35,0,3,
513,2872,B ,20,30,10,50,
515,2873,A,82,15,0,3,
515,2873,B ,15,60,5,20,
517,2874,A,78,20,0,2,
517,2874,B ,20,40,10,30,
519,2875,A,95,3,0,2,
519,2875,B ,65,10,5,20,
521,2876,A,97,1,0,2,
521,2876,B ,86,10,1,3,
523,2877,A,77,20,0,3,
523,2877,B ,62,15,3,20,
525,2878,A,50,47,0,3,
525,2878,B ,20,40,10,30,
527,2879,A,81,18,0,1,
527,2879,B ,10,35,15,40,
529,2880,A,57,40,0,3,
529,2880,B ,15,60,10,15,
531,2881,A,15,83,0,2,
531,2881,B ,10,40,10,40,
533,2882,A,57,40,0,3,
533,2882,B ,15,40,10,35,
535,2883,A,67,30,0,3,
535,2883,B ,10,40,10,40,
537,2885,A,90,7,0,3,
537,2885,B ,15,50,10,25,
539,2886,A,77,20,0,3,
539,2886,B ,10,50,10,30,
541,2887,A,72,25,0,3,
541,2887,B ,15,35,10,40,
543,2888,A,60,35,0,5,
543,2888,B ,15,35,10,40,
545,2889,A,37,60,0,3,
545,2889,B ,15,35,10,40,
547,2890,A,22,70,0,3,
547,2890,B ,20,35,15,30,
549,2891,A,52,45,0,3,
549,2891,B,15,50,15,20,
601,2892,A,93,5,0,2,
601,2892,B,73,10,2,15,
603,2893,A,90,9,0,1,
603,2893,B,25,45,10,20,
605,2894,A,76,20,0,4,
605,2894,B ,50,20,10,20,
607,2895,A,97,2,0,1,
607,2895,B ,84,10,1,5,
609,2896,A,96,3,0,1,
609,2896,B ,79,15,1,5,
611,2897,A,92,5,0,3,
611,2897,B ,40,30,10,20,
613,2899,A,97,2,0,1,
613,2899,B ,30,40,10,20,
615,2900,A,80,15,0,5,
615,2900,B ,40,30,10,20,
617,2901,A,93,5,0,2,
617,2901,B ,15,45,10,30,
619,2902,A,77,20,0,3,
619,2902,B ,20,55,10,15,
621,2903,A,77,20,0,3,
621,2903,B ,20,45,10,25,
623,2904,A,93,5,0,2,
623,2904,B ,10,65,10,15,
625,2905,A,95,2,0,3,
625,2905,B ,10,50,10,30,
627,2906,A,88,10,0,2,
