tag,species,treatment,grid,site,status,seed
1501,brohor,A,1,TAIL,missing,
1502,brohor,B,1,TAIL,,4
1503,brohor,A,1,TAIL,missing,
1504,brohor,B,1,TAIL,missing,
1505,brohor,A,1,TAIL,missing,
1506,brohor,B,1,TAIL,zero,0
1507,brohor,A,1,TAIL,missing,
1508,brohor,B,1,TAIL,zero,0
1509,brohor,A,1,TAIL,missing,
1510,brohor,B,1,TAIL,,3
1511,brohor,A,1,TAIL,zero,0
1512,brohor,B,1,TAIL,zero,0
1513,brohor,A,1,TAIL,zero,0
1514,brohor,B,1,TAIL,,1
1515,brohor,A,1,TAIL,zero,0
1516,brohor,B,1,TAIL,zero,0
1517,brohor,A,1,TAIL,no fruit,0
1518,brohor,B,1,TAIL,zero,0
1519,brohor,A,1,TAIL,missing,
1520,brohor,B,1,TAIL,missing,
1521,brohor,A,1,TAIL,zero,0
1522,brohor,B,1,TAIL,zero,0
1523,brohor,A,1,TAIL,missing,
1524,brohor,B,1,TAIL,zero,0
1525,brohor,A,1,TAIL,no pipe,0
1526,brohor,B,1,TAIL,zero,0
1527,brohor,A,1,TAIL,missing,
1528,brohor,B,1,TAIL,,3
1529,brohor,A,1,TAIL,,7
1530,brohor,B,1,TAIL,zero,0
1531,brohor,A,1,TAIL,,8
1532,brohor,B,1,TAIL,zero,0
1533,brohor,A,1,TAIL,no pipe,0
1534,brohor,B,1,TAIL,zero,0
1535,brohor,A,1,TAIL,,6
1536,brohor,B,1,TAIL,zero,0
1537,brohor,A,1,TAIL,herbivory,
1538,brohor,B,1,TAIL,,4
1539,brohor,A,1,TAIL,,0
1540,brohor,B,1,TAIL,zero,0
1541,brohor,A,1,TAIL,,3
1542,brohor,B,1,TAIL,,2
1543,brohor,A,1,TAIL,,4
1544,brohor,B,1,TAIL,zero,0
1545,brohor,A,1,TAIL,zero,0
1546,brohor,B,1,TAIL,zero,0
1547,brohor,A,1,TAIL,,24
1548,brohor,B,1,TAIL,,0
1549,brohor,A,1,TAIL,,16
1550,brohor,B,1,TAIL,zero,0
1101,brohor,A,2,TAIL,missing,
1102,brohor,B,2,TAIL,zero,0
1103,brohor,A,2,TAIL,missing,
1104,brohor,B,2,TAIL,missing,
1105,brohor,A,2,TAIL,missing,
1106,brohor,B,2,TAIL,missing,
1107,brohor,A,2,TAIL,missing,
1108,brohor,B,2,TAIL,,3
1109,brohor,A,2,TAIL,,13
1110,brohor,B,2,TAIL,zero,0
1111,brohor,A,2,TAIL,zero,0
1112,brohor,B,2,TAIL,,1
1113,brohor,A,2,TAIL,zero,0
1114,brohor,B,2,TAIL,,0
1115,brohor,A,2,TAIL,missing,
1116,brohor,B,2,TAIL,zero,0
1117,brohor,A,2,TAIL,missing,
1118,brohor,B,2,TAIL,,5
1119,brohor,A,2,TAIL,,0
1120,brohor,B,2,TAIL,zero,0
1121,brohor,A,2,TAIL,missing,
1122,brohor,B,2,TAIL,zero,0
1123,brohor,A,2,TAIL,missing,
1124,brohor,B,2,TAIL,,3
1125,brohor,A,2,TAIL,zero,0
1126,brohor,B,2,TAIL,,1
1127,brohor,A,2,TAIL,missing,
1128,brohor,B,2,TAIL,zero,0
1129,brohor,A,2,TAIL,,6
1130,brohor,B,2,TAIL,,0
1131,brohor,A,2,TAIL,missing,
1132,brohor,B,2,TAIL,zero,0
1133,brohor,A,2,TAIL,zero,0
1134,brohor,B,2,TAIL,zero,0
1135,brohor,A,2,TAIL,missing,
1136,brohor,B,2,TAIL,,2
1137,brohor,A,2,TAIL,missing,
1138,brohor,B,2,TAIL,zero,0
1139,brohor,A,2,TAIL,missing,
1140,brohor,B,2,TAIL,missing,
1141,brohor,A,2,TAIL,no pipe,9
1142,brohor,B,2,TAIL,,1
1143,brohor,A,2,TAIL,zero,0
1144,brohor,B,2,TAIL,zero,0
1145,brohor,A,2,TAIL,,2
1146,brohor,B,2,TAIL,missing,
1147,brohor,A,2,TAIL,no pipe,11
1148,brohor,B,2,TAIL,,2
1149,brohor,A,2,TAIL,zero,0
1150,brohor,B,2,TAIL,zero,0
1551,brohor,A,5,TAIL,zero,0
1552,brohor,B,5,TAIL,missing,
1553,brohor,A,5,TAIL,zero,0
1554,brohor,B,5,TAIL,,6
1555,brohor,A,5,TAIL,zero,0
1556,brohor,B,5,TAIL,zero,0
1557,brohor,A,5,TAIL,zero,0
1558,brohor,B,5,TAIL,zero,0
1559,brohor,A,5,TAIL,zero,0
1560,brohor,B,5,TAIL,zero,0
1561,brohor,A,5,TAIL,zero,0
1562,brohor,B,5,TAIL,zero,0
1563,brohor,A,5,TAIL,zero,0
1564,brohor,B,5,TAIL,zero,0
1565,brohor,A,5,TAIL,zero,0
1566,brohor,B,5,TAIL,zero,0
1567,brohor,A,5,TAIL,,9
