site,grid,plot,treatment,red_mean,green_mean,blue_mean,notes,,,,,,
TAIL,1,501,B,115.49,107.94,98.46,,,,,,,
RES,26,501,B,111.52,107.47,97.71,,,,,,,
TAIL,1,503,B,132.79,120.96,109.03,,,,,,,
RES,26,503,B,112.05,108.39,98.99,,,,,,,
TAIL,1,505,B,110.83,101.05,90.65,,,,,,,
RES,26,505,B,112.44,121.7,112.76,,,,,,,
TAIL,1,507,B,118.31,106.44,95.33,,,,,,,
RES,26,507,B,110.32,103.32,96.58,,,,,,,
TAIL,1,509,B,107.36,98,87.28,,,,,,,
RES,26,509,B,107.39,103.6,97.71,,,,,,,
TAIL,1,511,B,117,106.05,95.61,,,,,,,
RES,26,511,B,104.63,97.28,90.57,,,,,,,
TAIL,1,513,B,118.13,105,94.2,,,,,,,
RES,26,513,B,125.37,110.29,111.93,,,,,,,
TAIL,1,515,B,105.73,92.88,81.36,,,,,,,
RES,26,515,B,109.35,103.62,98.07,,,,,,,
TAIL,1,517,B,114.4,101.5,91.85,,,,,,,
RES,26,517,B,114.62,108.35,99.16,,,,,,,
TAIL,1,519,B,122.79,113.56,102.36,,,,,,,
RES,26,519,B,118.08,112.77,103.74,,,,,,,
TAIL,1,521,B,117.26,109.36,99.67,,,,,,,
RES,26,521,B,96.67,93.33,88.37,,,,,,,
TAIL,1,523,B,121.08,112.2,103.05,,,,,,,
RES,26,523,B,115.45,111.15,101.73,,,,,,,
TAIL,1,525,B,118.76,104.18,91.72,,,,,,,
RES,26,525,B,106.34,100.79,93.58,,,,,,,
TAIL,1,527,B,118.27,107.04,96.21,,,,,,,
RES,26,527,B,104.03,99.5,96.84,,,,,,,
TAIL,1,529,B,114.52,100.02,83.74,,,,,,,
RES,26,529,B,101.63,93.7,87.89,,,,,,,
TAIL,1,531,B,98.5,90.53,77.71,"Looks like biotic is on left, although I surveyed the right side. MS checked, looks correct",,,,,,
RES,26,531,B,116.33,111.34,106.03,,,,,,,
TAIL,1,533,B,110.4,98,83.22,,,,,,,
RES,26,533,B,105.36,96.97,90.44,,,,,,,
TAIL,1,535,B,116.6,102.7,85.5,,,,,,,
RES,26,535,B,108.33,106.11,99.58,,,,,,,
TAIL,1,537,B,124.19,109.93,97.315,,,,,,,
TAIL,1,539,B,115.34,102.36,92.85,,,,,,,
RES,26,539,B,102.08,95.03,87.07,,,,,,,
TAIL,1,541,B,107.53,94.67,84.5,,,,,,,
RES,26,541,B,115.8,114.37,105.9,,,,,,,
TAIL,1,543,B,106.19,91.96,79.43,,,,,,,
RES,26,543,B,102.01,97.78,92.17,,,,,,,
TAIL,1,545,B,111,101.61,82.71,,,,,,,
RES,26,545,B,103.4,97.71,93.42,,,,,,,
TAIL,1,547,B,112.93,103.16,77.17,,,,,,,
RES,26,547,B,104.55,97.59,91.78,,,,,,,
TAIL,1,549,B,102.83,88.69,76.09,,,,,,,
RES,26,549,B,112.11,104.15,98.24,,,,,,,
TAIL,5,551,B,121.32,109.6,90.52,,,,,,,
WHIT ,6,551,B,117.49,108,92.38,,,,,,,
TAIL,5,553,B,123.5,106.68,95.12,,,,,,,
WHIT,6,553,B,112.9,106.69,87.84,,,,,,,
TAIL,5,555,B,111.83,99.34,87.08,,,,,,,
WHIT,6,555,B,120.17,110.08,88.59,,,,,,,
TAIL,5,557,B,109.35,101.1,81.4,,,,,,,
WHIT,6,557,B,111.73,100.78,84.43,,,,,,,
TAIL,5,559,B,111.72,106.16,84.41,,,,,,,
WHIT,6,559,B,109.4,99.01,81.8,,,,,,,
TAIL,5,561,B,123.43,112.91,95.3,,,,,,,
WHIT,6,561,B,117.22,108.59,95.63,,,,,,,
TAIL,5,563,B,109.65,104.76,84.49,,,,,,,
WHIT,6,563,B,119.5,106.45,88.4,,,,,,,
TAIL,5,565,B,114.22,106.65,94.19,,,,,,,
WHIT,6,565,B,114.68,108.73,91.86,,,,,,,
TAIL,5,567,B,115.7,106.53,96.1,,,,,,,
WHIT,6,567,B,117.19,109.3,91.87,Hard to find tags,,,,,,
TAIL,5,569,B,121.72,105.21,93.75,,,,,,,
WHIT,6,569,B,123.77,113.47,96.52,,,,,,,
TAIL,5,571,B,126,116.4,108.34,,,,,,,
WHIT,6,571,B,109.02,100.89,90.14,,,,,,,
TAIL,5,573,B,106.96,100.12,85.29,,,,,,,
WHIT,6,573,B,107.4,99.51,85.35,,,,,,,
TAIL,5,575,B,117.04,110.12,95.1,,,,,,,
WHIT,6,575,B,115.22,106.12,92.42,,,,,,,
TAIL,5,577,B,118.88,112.22,91.13,,,,,,,
TAIL,5,579,B,114.62,105.63,86.26,,,,,,,
WHIT,6,579,B,111.03,97.5,85.72,,,,,,,
TAIL,5,581,B,134.56,125.07,107.26,,,,,,,
WHIT,6,581,B,113.61,101.01,87.31,,,,,,,
TAIL,5,583,B,128.29,119.47,97.37,,,,,,,
WHIT,6,583,B,108.79,102.96,97.74,,,,,,,
TAIL,5,585,B,116.04,108.92,90.85,,,,,,,
WHIT,6,585,B,117.03,111.28,103.97,,,,,,,
TAIL,5,587,B,113.61,109,85.32,,,,,,,
WHIT,6,587,B,116.31,109.32,93.79,,,,,,,
TAIL,5,589,B,121.34,113.25,102.23,,,,,,,
WHIT,6,589,B,111.15,99.52,81.13,,,,,,,
TAIL,5,591,B,108.43,100.5,88.99,,,,,,,
WHIT,6,591,B,107.07,96.23,80.53,,,,,,,
TAIL,5,593,B,114.91,104.19,89.38,,,,,,,
TAIL,5,595,B,125.66,114.53,97.48,,,,,,,
WHIT,6,595,B,119.25,111.53,101.54,,,,,,,
TAIL,5,597,B,124.18,117.34,99.84,,,,,,,
WHIT,6,597,B,116.01,108.08,95.84,,,,,,,
TAIL,5,599,B,121.37,111.44,90.57,Hard to find tags,,,,,,
WHIT,6,599,B,115.33,103.94,91.37,,,,,,,
TAIL,2,601,B,118.5,109.01,97.37,,,,,,,
HUT,11,601,B,136.68,127.88,116.97,,,,,,,
TAIL,2,603,B,100.68,91,80.85,,,,,,,
HUT,11,603,B,142.5,129.19,107.79,,,,,,,
TAIL,2,605,B,109.3,97.78,85,,,,,,,
HUT,11,605,B,125.99,116.82,102.33,,,,,,,
TAIL,2,607,B,130.25,120.17,106.12,,,,,,,
HUT,11,607,B,131.26,121.74,105.24,,,,,,,
TAIL,2,609,B,112.05,102.95,92.87,,,,,,,
HUT,11,609,B,121.55,115.96,108.97,,,,,,,
TAIL,2,611,B,112.17,101.35,88.3,,,,,,,
HUT,11,611,B,112.59,107.18,100.21,,,,,,,
TAIL,2,613,B,107.49,94.8,83.89,,,,,,,
HUT,11,613,B,139.7,130.12,114.46,,,,,,,
TAIL,2,615,B,109.9,98.55,88.51,,,,,,,
HUT,11,615,B,122.87,113.66,98.85,,,,,,,
TAIL,2,617,B,107.75,96.67,85.5,,,,,,,
HUT,11,617,B,120.67,114.78,104.77,,,,,,,
TAIL,2,619,B,100.53,91.85,81.8,Difficult to find markers ,,,,,,
HUT,11,619,B,127.24,117.45,103.33,,,,,,,
TAIL,2,621,B,113.25,100.66,88.89,,,,,,,
HUT,11,621,B,124.31,115.62,93.08,,,,,,,
TAIL,2,623,B,114.39,105.73,92.02,,,,,,,
HUT,11,623,B,118.74,119.57,98.69,,,,,,,
TAIL,2,625,B,104.66,96.25,83.45,,,,,,,
HUT,11,625,B,118.11,109.1,97.28,,,,,,,
TAIL,2,627,B,110.11,103.13,87.81,,,,,,,
HUT,11,627,B,134.93,127.59,113.09,,,,,,,
TAIL,2,629,B,107.22,96.97,80.7,,,,,,,
HUT,11,629,B,119.67,113.78,99.2,,,,,,,
TAIL,2,631,B,111.27,100.14,88.65,,,,,,,
HUT,11,631,B,109.25,104.93,90.69,,,,,,,
TAIL,2,633,B,114.67,103.4,92.89,,,,,,,
HUT,11,633,B,123.75,119.25,109.16,,,,,,,
TAIL,2,635,B,118.68,108.1,95.98,,,,,,,
HUT,11,635,B,122.97,116.28,106.03,,,,,,,
TAIL,2,637,B,116.24,104.16,90.48,,,,,,,
HUT,11,637,B,123.42,116.57,101.48,,,,,,,
TAIL,2,639,B,123.67,112.34,102.08,,,,,,,
HUT,11,639,B,118.41,110.81,95.17,,,,,,,
TAIL,2,641,B,119.55,108.11,93.94,,,,,,,
HUT,11,641,B,147.05,135.9,116.26,,,,,,,
TAIL,2,643,B,116.12,104.15,90.7,Difficult to find tags ,,,,,,
HUT,11,643,B,112.83,105.28,91.04,,,,,,,
TAIL,2,645,B,112.19,102.63,91.26,,,,,,,
HUT,11,645,B,127.1,118.49,99.73,,,,,,,
TAIL,2,647,B,123.35,111.23,98.31,"More than four tags, didn't count top right corner. MS looks good",,,,,,
HUT,11,647,B,134.14,123.65,107.35,,,,,,,
TAIL,2,649,B,121.54,105.83,92.4,,,,,,,
HUT,11,649,B,138.09,126.14,105.41,,,,,,,
WHIT,9,651,B,115.91,108.29,90.39,,,,,,,
HUT,14,651,B,127.66,121.04,106.09,,,,,,,
WHIT,9,653,B,101.45,95.38,83.43,,,,,,,
HUT,14,653,B,111.81,104.98,93.08,,,,,,,
WHIT,9,655,B,101.3,93.57,81.78,,,,,,,
HUT,14,655,B,103.81,99.5,81.53,,,,,,,
WHIT,9,657,B,101.35,95.09,83.34,,,,,,,
HUT,14,657,B,113.82,107.43,94.38,,,,,,,
WHIT,9,659,B,108.07,103.67,88.29,,,,,,,
HUT,14,659,B,108.13,100.65,87.5,,,,,,,
WHIT,9,661,B,98.2,91.6,73.31,,,,,,,
HUT,14,661,B,111.2,104.25,89.08,,,,,,,
WHIT,9,663,B,105.33,99.27,87.13,,,,,,,
HUT,14,663,B,111.17,105.7,96.46,,,,,,,
WHIT,9,665,B,101.85,96.23,88.29,,,,,,,
HUT,14,665,B,114.14,109.35,96.31,,,,,,,
WHIT,9,667,B,98.8,95.51,77.53,,,,,,,
HUT,14,667,B,116.81,109.73,96.38,,,,,,,
WHIT,9,669,B,103.98,96.11,80.63,,,,,,,
HUT,14,669,B,121.74,114.53,98.98,,,,,,,
WHIT,9,671,B,103.93,97.46,86.76,,,,,,,
HUT,14,671,B,104.68,97.88,83.05,,,,,,,
WHIT,9,673,B,107.64,101.92,85.31,,,,,,,
HUT,14,673,B,113.79,106.51,92.93,,,,,,,
WHIT,9,675,B,103.3,98.39,86.69,,,,,,,
HUT,14,675,B,109.14,102.16,88.11,,,,,,,
WHIT,9,677,B,108.27,102.58,92.95,,,,,,,
HUT,14,677,B,124.81,116.36,102.18,,,,,,,
WHIT,9,679,B,105.13,93.43,76.43,,,,,,,
HUT,14,679,B,118.49,111.27,98.4,,,,,,,
HUT,14,681,B,120.41,111.32,92.9,,,,,,,
WHIT,9,683,B,104.49,100.22,80.9,,,,,,,
HUT,14,683,B,123.72,115.44,102.93,,,,,,,
WHIT,9,685,B,104.51,96.03,82.41,,,,,,,
HUT,14,685,B,117.24,109.95,95.83,,,,,,,
WHIT,9,687,B,105.86,100.4,86.24,,,,,,,
HUT,14,687,B,122.38,113.43,103.59,,,,,,,
WHIT,9,689,B,106.86,98.71,88.53,,,,,,,
HUT,14,689,B,105.26,97.86,84.64,,,,,,,
WHIT,9,691,B,107.044,96.479,89.144,UPDATED 2023,107.044,96.479,89.144,105.82,94.55,79.07
HUT,14,691,B,114.33,105.77,84.15,,,,,,,
WHIT,9,693,B,122.32,109.69,93.69,,,,,,,
HUT,14,693,B,114.76,104.35,87.69,,,,,,,
WHIT,9,695,B,105.45,99.24,79.68,,,,,,,
HUT,14,695,B,125.046,116.38,102.78,"Folder closed, plot number assumed",,,,,,
WHIT,9,697,B,104.115,97.8,83.85,,,,,,,
HUT,14,697,B,129.09,118.69,106.75,,,,,,,
WHIT,9,699,B,115.91,105.4,93.39,,,,,,,
HUT,14,699,B,124.29,114.15,94.09,,,,,,,
WHIT,8,701,B,121.41,117.52,105.39,,,,,,,
HUT,15,701,B,122.14,118.22,107.638,UPDATED 2023,122.14,118.22,107.638,119.41,116.99,105.25
WHIT,8,703,B,118.19,111.02,92.13,,,,,,,
HUT,15,703,B,112.62,108.26,101.35,,,,,,,
WHIT,8,705,B,127.21,115.72,97.8,,,,,,,
HUT,15,705,B,117.1,110.51,104.61,,,,,,,
WHIT,8,707,B,122.38,112.61,97.68,,,,,,,
HUT,15,707,B,120.43,113.59,104.4,,,,,,,
WHIT,8,709,B,128.95,119.25,105.19,,,,,,,
HUT,15,709,B,117.78,119.88,103.09,,,,,,,
WHIT,8,711,B,111.72,100.73,88.15,,,,,,,
HUT,15,711,B,119.4,112.08,102.95,,,,,,,
WHIT,8,713,B,123.98,112.96,98.37,,,,,,,
HUT,15,713,B,124.59,117.72,102.32,,,,,,,
WHIT,8,715,B,119.23,108.59,96.08,,,,,,,
HUT,15,715,B,122.45,115.66,109.32,,,,,,,
WHIT,8,717,B,115.41,110.32,96.73,,,,,,,
HUT,15,717,B,124.91,119.24,108.67,,,,,,,
WHIT,8,719,B,122.47,117.26,105.11,Hard to find tags,,,,,,
HUT,15,719,B,115.83,110.85,92.37,,,,,,,
WHIT,8,721,B,113.01,106.98,89.53,,,,,,,
HUT,15,721,B,113.37,107.14,94.76,,,,,,,
WHIT,8,723,B,126.67,120.3,103.61,Image 2984 unlabled with one tag only ,,,,,,
HUT,15,723,B,113.65,107.01,95.95,,,,,,,
WHIT,8,725,B,119.15,111.17,99.14,,,,,,,
HUT,15,725,B,108.9,100.64,90.71,,,,,,,
HUT,15,727,B,115.87,108.44,96.04,,,,,,,
WHIT,8,729,B,119.04,111.4,103.27,,,,,,,
HUT,15,729,B,124.71,118.26,105.12,,,,,,,
WHIT,8,731,B,117.1,109.45,94.86,,,,,,,
HUT,15,731,B,118.09,113.24,97.67,,,,,,,
WHIT,8,733,B,119.26,112.4,96.65,,,,,,,
HUT,15,733,B,116.9,111.29,99.28,,,,,,,
WHIT,8,735,B,105.24,98.96,86.73,,,,,,,
HUT,15,735,B,115.67,110.41,97.01,,,,,,,
WHIT,8,737,B,113.22,109.05,93.9,,,,,,,
HUT,15,737,B,114.32,108.84,98.38,,,,,,,
WHIT,8,739,B,112.06,107.96,90.74,,,,,,,
HUT,15,739,B,118.71,112.29,97.44,,,,,,,
WHIT,8,741,B,114.69,109.52,95.31,,,,,,,
HUT,15,741,B,116.91,109.12,96.71,,,,,,,
WHIT,8,743,B,106.68,101.16,85.39,,,,,,,
HUT,15,743,B,107.42,102.73,87.23,,,,,,,
WHIT,8,745,B,116.99,109.14,94.49,,,,,,,
HUT,15,745,B,106.48,99.02,85.89,,,,,,,
WHIT,8,747,B,115.94,109.76,96.88,,,,,,,
HUT,15,747,B,114.03,106.74,91.07,,,,,,,
WHIT,8,749,B,112.57,105.63,94.61,,,,,,,
HUT,15,749,B,116.48,108.84,92.25,,,,,,,
LM,16,751,B,115.32,108.48,97.83,,,,,,,
KNOX,22,751,B,112.25,94.73,72.37,,,,,,,
LM,16,753,B,126.91,116.09,104.71,,,,,,,
KNOX,22,753,B,115.15,97.74,73.05,,,,,,,
LM,16,755,B,121.06,109.58,96.81,,,,,,,
KNOX,22,755,B,113.43,93.69,67.74,,,,,,,
LM,16,757,B,118.43,108.88,98.03,,,,,,,
KNOX,22,757,B,116.89,97,71.78,,,,,,,
LM,16,759,B,125.82,114.28,102.8,,,,,,,
KNOX,22,759,B,112.9,96.63,68.23,,,,,,,
LM,16,761,B,118.01,108.21,96.87,,,,,,,
KNOX,22,761,B,120.48,102.26,75.83,,,,,,,
LM,16,763,B,120.96,111.3,100.5,,,,,,,
KNOX,22,763,B,105.29,93.05,67.24,,,,,,,
LM,16,765,B,132.65,119.38,104.28,,,,,,,
KNOX,22,765,B,115.27,101.67,82.11,,,,,,,
LM,16,767,B,117.64,107.13,95.35,,,,,,,
KNOX,22,767,B,113.75,92.11,73.14,,,,,,,
LM,16,769,B,122.35,112.65,101.09,,,,,,,
KNOX,22,769,B,103.53,90.07,64.32,,,,,,,
LM,16,771,B,129.75,116.96,105.29,,,,,,,
KNOX,22,771,B,126.57,109.57,81.96,,,,,,,
LM,16,773,B,128.68,115,101.59,,,,,,,
KNOX,22,773,B,107.67,92.22,67.86,,,,,,,
LM,16,775,B,122.11,109.3,96.64,,,,,,,
KNOX,22,775,B,115.67,99.54,77.37,,,,,,,
LM,16,777,B,116.06,106.97,97.09,,,,,,,
KNOX,22,777,B,114.01,97.69,76.78,,,,,,,
LM,16,779,B,146.11,135.7,125.35,,,,,,,
KNOX,22,779,B,116.98,102.79,81.15,,,,,,,
LM,16,781,B,116.19,109.64,100.79,,,,,,,
KNOX,22,781,B,118.97,107.74,86.26,,,,,,,
LM,16,783,B,125.71,114.46,103.31,,,,,,,
KNOX,22,783,B,107.36,93.64,73.49,,,,,,,
LM,16,785,B,115.12,105.29,97.24,,,,,,,
KNOX,22,785,B,116.96,101.06,79.59,,,,,,,
LM,16,787,B,118.37,109.4,100.1,,,,,,,
KNOX,22,787,B,113.79,99.2,80.54,,,,,,,
LM,16,789,B,119.76,111.12,100.17,,,,,,,
KNOX,22,789,B,113.28,100.81,76.15,,,,,,,
LM,16,791,B,124.51,116.64,107.27,,,,,,,
KNOX,22,791,B,106.3,96.15,82.09,,,,,,,
LM,16,793,B,123.04,115.02,103.93,,,,,,,
KNOX,22,793,B,102.87,91.54,75.66,,,,,,,
LM,16,795,B,121.05,111.71,96.64,,,,,,,
KNOX,22,795,B,101.46,87.37,70.36,,,,,,,
LM,16,797,B,112.87,103.71,91.73,,,,,,,
KNOX,22,797,B,110.49,95.28,75.6,,,,,,,
LM,16,799,B,126.45,113.53,98.89,,,,,,,
KNOX,22,799,B,117.25,106.09,88.43,,,,,,,
LM,17,801,B,120.64,116.25,106.79,,,,,,,
KNOX,21,801,B,105.42,93.91,73.67,,,,,,,
LM,17,803,B,113.18,107.27,99.4,,,,,,,
KNOX,21,803,B,112.29,99.76,80.13,,,,,,,
LM,17,805,B,112.52,106.54,96.12,,,,,,,
KNOX,21,805,B,115.95,101.1,74.88,,,,,,,
LM,17,807,B,114,107.8,96.72,,,,,,,
KNOX,21,807,B,108.44,98.69,70.86,,,,,,,
LM,17,809,B,103.42,97.13,91.46,,,,,,,
KNOX,21,809,B,107.92,96.76,76.78,,,,,,,
LM,17,811,B,109.8,103.5,95.38,,,,,,,
KNOX,21,811,B,123.48,112.93,81.4,,,,,,,
LM,17,813,B,112.08,106.66,98.28,,,,,,,
KNOX,21,813,B,105.51,93.44,73.46,,,,,,,
LM,17,815,B,107.44,101.47,88.1,,,,,,,
